daily,time,st10,mp10,st20,mp20,st30,mp30,st60,mp60,st100,mp100,st150,mp150,eh10a,eh10b,eh10c,eh20a,eh20b,eh20c,eh30a,eh30b,eh30c,eh60a,eh60b,eh60c,eh100a,eh100b,eh100c,eh150a,eh150b,eh150c,wd,ws,at,rh,ap,pp,sr,wt,ec,bat,lt,wt_2,year,month,day,hour
2010-04-01,12.5,6.7004166666666665,0,6.8100000000000005,0,6.755416666666666,0,6.1825,0,5.6379166666666665,0,5.464166666666667,0,659.05625,648.2658333333334,644.3033333333333,643.3375,642.1916666666667,660.7758333333334,272.615,593.8516666666667,354.28625,211.96458333333334,115.23416666666667,99.00166666666667,180.24833333333333,276.9916666666667,55.22375,-127.17083333333333,-169.30958333333334,-186.07333333333332,219.41666666666666,6.866666666666667,5.033333333333333,85.32083333333334,1003.3875,16.685,91.4404891375,168.59791666666666,0.553102,12.8924,6.078,-31.402083333333334,2010,4,1,11.5
2010-04-02,36.5,6.42125,0,6.287083333333333,0,6.314583333333333,0,6.150833333333333,0,5.735,0,5.542916666666667,0,659.2058333333333,649.6075,645.7875,645.9883333333333,646.0325,665.4758333333333,263.20208333333335,597.0075,341.3208333333333,194.87375,101.05791666666667,96.78958333333334,174.50458333333333,273.66375,47.784166666666664,-122.61083333333333,-157.0275,-185.49541666666667,181.08333333333334,4.8875,7.2125,69.5625,1012.7166666666667,19.33125,199.70010822916666,168.41479166666667,0.5548339166666667,12.948857142857143,8.141428571428571,-31.585208333333334,2010,4,2,11.5
2010-04-03,60.5,6.465833333333333,0,6.350833333333333,0,6.2995833333333335,0,6.075833333333334,0,5.785,0,5.617916666666667,0,660.7895833333333,645.84125,646.2808333333334,646.9854166666667,648.05,667.7645833333333,255.42541666666668,601.6779166666666,327.8516666666667,175.1,87.29,95.12541666666667,167.88208333333333,270.38666666666666,37.57041666666667,-118.02166666666666,-149.61166666666668,-184.98166666666665,146.125,2.8666666666666667,7.670833333333333,73.36666666666666,1009.8083333333333,20.010833333333334,125.71495284583334,167.38625,0.5565104583333333,12.921833333333334,7.458333333333334,-32.613749999999996,2010,4,3,11.5
2010-04-04,84.5,7.452083333333333,0,6.825,0,6.56,0,6.087916666666667,0,5.796666666666667,0,5.691666666666666,0,657.2045833333333,645.9066666666666,644.64625,646.94625,648.4475,668.24,256.3570833333333,613.3820833333333,316.90875,152.29208333333332,73.69041666666666,92.65,161.42208333333332,267.57375,25.615416666666665,-112.52583333333334,-139.51208333333332,-184.44791666666666,179.58333333333334,2.3916666666666666,8.125,87.30416666666666,1008.1333333333333,25.362083333333334,103.10250234583333,170.35425,0.55833975,13.0076,8.314,-29.64575,2010,4,4,11.5
2010-04-05,108.5,7.282916666666667,0,6.997083333333333,0,6.796666666666667,0,6.215,0,5.838333333333333,0,5.748333333333333,0,660.2545833333334,648.3625,645.8425,648.6320833333333,649.19375,669.7079166666666,247.94708333333332,609.85875,306.23541666666665,127.46333333333334,57.25708333333333,91.27166666666666,154.88583333333332,264.84625,15.655,-106.17125,-140.20458333333335,-183.93458333333334,261.9583333333333,3.1125,6.491666666666666,85.1375,1021.9166666666666,28.670416666666668,111.98259717083333,169.48591666666667,0.5598742083333333,12.7546,7.998,-30.514083333333332,2010,4,5,11.5
2010-04-06,132.5,7.7975,0,7.1675,0,6.914583333333334,0,6.324583333333333,0,5.919583333333334,0,5.7995833333333335,0,659.7091666666666,649.1608333333334,632.76,649.1683333333333,649.6675,671.0625,251.6475,602.46375,296.63125,98.62208333333334,46.117916666666666,89.28291666666667,148.37125,262.25374999999997,11.495,-99.4125,-140.11541666666668,-183.455,155.5,3.5166666666666666,9.358333333333333,76.6875,1024.2875,28.79625,126.52245024425,168.30904166666667,0.560504875,12.7104,10.23,-31.690958333333334,2010,4,6,11.5
2010-04-07,156.5,8.155,0,7.494583333333333,0,7.1925,0,6.466666666666667,0,5.995833333333334,0,5.864166666666667,0,660.7954166666667,650.9275,643.56375,649.7254166666667,651.0725,672.4354166666667,248.23375000000001,609.5679166666666,285.4725,79.87791666666666,34.75541666666667,86.46666666666667,141.1975,260.33458333333334,9.27375,-94.79875,-141.07625000000002,-182.74125,132.45833333333334,2.8375,11.5125,64.57083333333333,1019.9416666666667,28.8,162.851053375,166.7855,0.5613872916666667,12.6776,11.666,-33.2145,2010,4,7,11.5
2010-04-08,180.5,8.554166666666667,0,7.952083333333333,0,7.57625,0,6.649583333333333,0,6.089166666666666,0,5.920416666666667,0,660.6833333333334,652.3375,647.45625,649.6404166666666,653.9258333333333,672.98375,242.13208333333333,619.245,275.0725,32.09041666666666,23.752916666666664,84.01708333333333,134.63041666666666,258.10375,6.7220833333333365,-90.97375,-141.19416666666666,-182.47708333333333,264.5416666666667,2.4125,8.258333333333333,85.01666666666667,1023.8833333333333,28.814999999999998,79.7664033625,165.41158333333334,0.5630217916666667,12.824625,9.99125,-34.58841666666667,2010,4,8,11.5
2010-04-09,204.5,8.430416666666666,0,7.9558333333333335,0,7.635833333333333,0,6.83,0,6.203333333333333,0,5.99375,0,634.5879166666667,654.6520833333334,650.1408333333334,651.3325,656.0270833333333,676.43375,236.92583333333334,628.38875,266.39416666666665,20.35625,11.771249999999998,80.61375,128.20666666666668,256.68,4.585833333333331,-84.06625,-136.94416666666666,-182.0475,304.2083333333333,3.6375,8.225,84.79166666666667,1029.7833333333333,28.83,136.68233078333333,164.223125,0.56430125,12.714666666666666,10.243333333333332,-35.776875,2010,4,9,11.458333333333334
2010-04-10,228.5,8.6658333333333335,0,8.223749999999999,0,7.8125,0,6.962083333333333,0,6.32,0,6.060833333333333,0,579.5479166666667,655.58875,651.03,651.8245833333333,657.6875,678.4820833333333,229.25375,638.1658333333334,286.55125,-2.7925000000000018,-1.9199999999999982,77.68458333333334,122.73208333333334,255.52666666666667,2.9308333333333345,-77.86833333333333,-135.30458333333334,-181.57541666666665,248.58333333333334,2.8083333333333336,8.266666666666667,74.30833333333334,1030.2,28.837916666666665,180.1318856125,162.80845833333333,0.565407125,12.8568,10.428,-37.191541666666666,2010,4,10,11.5
2010-04-11,252.5,7.83,0,7.997083333333333,0,7.864166666666667,0,7.09875,0,6.432916666666666,0,6.1570833333333335,0,598.4220833333334,656.9716666666667,654.4945833333334,653.17,661.4391666666667,681.3358333333333,339.2891666666667,646.1041666666666,373.3925,-23.4,-11.98625,73.48208333333334,118.30958333333334,254.83208333333334,0.4016666666666661,-72.62208333333334,-132.91125,-181.52125,131.4,2.09,6.04,83.46,1029.94,28.842,24.1667095625,161.40495833333333,0.567065625,12.8514,7.034,-38.59504166666667,2010,4,11,11.5
2010-04-12,276.5,7.610833333333333,0,7.516666666666667,0,7.46875,0,7.098333333333334,0,6.527083333333334,0,6.23625,0,577.2954166666667,657.4970833333333,656.3320833333333,654.685,664.2545833333334,684.79125,575.2870833333334,650.5404166666667,461.38916666666665,-40.384166666666665,-20.285416666666666,69.00416666666666,114.8525,254.65791666666667,-2.9733333333333327,-70.22083333333333,-128.84375,-181.23375,NA,NA,NA,NA,NA,NA,160.06098869208333,160.10925,0.56688125,13.011166666666666,7.815,-39.89075,2010,4,12,11.5
2010-04-13,300.5,7.940833333333333,0.305125,7.733333333333333,0,7.546666666666667,0,7.075833333333334,0,6.58875,0,6.310416666666667,0,582.7491666666667,657.5991666666666,656.40625,655.2108333333333,665.10875,685.4254166666667,619.8191666666667,652.23875,516.25,-55.91458333333334,-31.256666666666664,66.26458333333333,112.82166666666667,254.705,-5.962500000000002,-66.22958333333332,-128.04666666666665,-180.49625,82.6,0.9400000000000001,2.14,99.24,1023.12,28.85,166.23084559583333,158.68141666666668,0.5674037916666667,12.900400000000001,8.52,-41.318583333333336,2010,4,13,11.5
2010-04-14,324.5,7.927083333333333,1.1615416666666667,7.840833333333333,0,7.641666666666667,0,7.13125,0,6.635833333333333,0,6.37625,0,589.4545833333333,658.2566666666667,656.9320833333334,655.7754166666666,665.8179166666666,686.7316666666667,635.8629166666667,653.1166666666667,555.2741666666667,-71.22041666666667,-42.45625,61.49875,112.30958333333334,255.06,-8.971249999999998,-42.02708333333333,-127.77541666666667,-179.67875,NA,NA,NA,NA,NA,NA,163.563663775,157.182,0.5673688333333333,12.8896,7.81,-42.818,2010,4,14,11.5
2010-04-15,348.5,7.880833333333333,1.477875,7.733750000000001,0,7.586666666666667,0,7.183333333333334,0,6.692916666666667,0,6.430416666666667,0,591.76125,658.81875,657.5645833333333,656.8675,667.1508333333334,688.785,646.26,654.37625,588.7620833333333,-88.88125,-52.08208333333333,55.759166666666665,112.42583333333333,254.9875,-11.570833333333331,-48.41708333333333,-128.53458333333333,-178.66083333333333,319.85714285714283,3.4642857142857144,9.835714285714285,66.36428571428571,1020.9285714285714,28.85,196.68652702916665,155.56433333333334,0.5675284166666666,13.064333333333334,6.795,-44.43566666666667,2010,4,15,11.5
