sample;lab_number;site_number;site_name;replicate;depth;som;wsc;wsc_ma;wsc_som;hwsc;hwsc_ma;hwsc_som;wsc_hwsc_som;N;C_N;ph_h2o;ph_cacl2;delta_ph;ph_naf;mat_amorph;melanic_index;index;bs;Ca;Mg;K;Na ;Al;Fe;Mn;H;Fed;Feo;Feo_Fed;Fepyro;Mno;Alo;Sio;Alpyro;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5;(SO3);(Cl);(F);LOI;Sum_RF;(As);Ba;Bi;Ce;Co;Cr;Cs;Cu;Ga;Hf;La;Mo;Nb;Nd;Ni;Pb;Rb;Sb;Sc;Sm;Sn;Sr;Ta;Th;U;V;W;Y;Zn;Zr;xrd_main;xrd_trace
#1;#3237;1;PA1;A;0-30;167;1.238;37;0.007;5.114;44;0.031;0.038;10.17;16.4;4.82;4;0.82;11.2;dominant;1.62;melanic;10.5;4.8;3.3;4.2;1.8;118.7;0.5;1.8;0;7.53;7.03;0.93;5.61;0;15.7;1.15;13.91;39.21;0.3;10.44;2.89;0.058;1.12;2.098;1.96;0.917;0.203;0.02;<0.002;<0.05;40.67;99.9;3;374;<5;<45;<6;23;<58;30;13;<14;<35;<6;3;<31;9;7;22;<78;<21;<34;<31;199;<9;6;<7;55;<9;10;35;81;"quartz; feldspars; amphibole; amorphous phases";-
#2;#3238;1;PA1;A;30-60;117.8;0.538;32;0.005;2.299;37;0.02;0.024;7.36;16;5.19;4.23;0.96;11.4;dominant;1.6;melanic;9.6;2.5;1.4;1.5;1;59.6;0.5;0.2;0;8.25;8.45;1.02;6.18;0;22.2;4.73;14.88;44.09;0.38;13.41;3.76;0.054;1.57;2.823;2.39;0.897;0.165;0.02;0.004;<0.05;30.33;99.87;3;416;<5;<48;6;24;<62;31;16;<15;<37;<6;5;<33;10;7;22;<82;<22;<37;<32;258;<10;<6;<8;83;<9;11;43;89;"quartz; feldspars; amphibole; amorphous phases";faujasite
#3;#3239;1;PA1;A;60-90;114.5;0.301;31;0.003;1.461;37;0.013;0.015;6.71;17.1;5.25;4.25;1;11.6;dominant;1.57;melanic;10.1;2.8;0.9;0.9;1.2;50.7;0.5;0.2;0;9.13;7.8;0.85;4.48;0;24.4;6.33;15.27;44.22;0.418;13.97;3.55;0.052;1.44;2.678;2.27;0.89;0.165;0.02;0.005;<0.05;30.19;99.88;<3;416;<5;<48;6;25;<61;30;17;<15;<37;<6;5;<33;9;9;19;<82;<22;<36;<32;255;<10;<6;<8;81;<9;14;47;90;"quartz; feldspars; amphibole; amorphous phases";faujasite
#4;#3240;1;PA1;B;0-30;161.6;1.154;39;0.007;5.038;44;0.031;0.038;9.97;16.2;4.85;4;0.85;11.2;dominant;1.62;melanic;15.2;10.2;4.1;4.8;1.6;112.5;0.2;2.9;0;7.73;5.66;0.73;5.13;0.23;16.9;1.21;13.53;39.97;0.302;10.62;2.92;0.073;1.13;2.129;2.02;0.92;0.203;0.02;<0.002;<0.05;39.6;99.9;<2;397;<5;<45;6;18;<58;29;13;<14;<35;<6;3;<31;9;8;21;<79;<21;<34;<31;204;<9;8;<7;63;<9;11;38;85;;
#5;#3241;1;PA1;B;30-60;115.4;0.46;38;0.004;1.907;37;0.017;0.021;7.15;16.1;5.15;4.23;0.92;11.3;dominant;1.59;melanic;11.5;3.7;1.5;1.7;1;59.8;0.3;0.5;0;8.31;7.32;0.88;5.6;0;21.2;4.77;14.28;44.02;0.377;13.23;3.59;0.058;1.47;2.709;2.35;0.896;0.164;0.02;0.005;<0.05;30.96;99.9;<3;415;<5;<48;<6;27;<61;33;16;<15;<37;<6;4;<33;11;7;19;<81;<22;<36;<33;248;<9;<6;<8;68;<9;13;44;84;;
#6;#3242;1;PA1;B;60-90;104.7;0.24;41;0.002;1.16;38;0.011;0.013;5.97;17.5;5.29;4.29;1;11.4;dominant;1.56;melanic;10.1;3.1;0.9;0.9;0.8;51.1;0.4;0.2;0;11.34;8.05;0.71;5.24;0;25.5;6.89;15.81;44.9;0.414;14.03;3.71;0.056;1.46;2.74;2.34;0.887;0.158;0.02;0.003;<0.05;29.18;99.85;<3;417;<5;<48;<6;24;<61;28;18;<15;<37;<6;5;<33;9;9;19;<83;<22;<36;<32;255;<10;<6;<8;78;<9;14;50;91;;
#7;#3243;1;PA1;C;0-30;172.3;0.949;52;0.006;4.495;43;0.026;0.032;10.44;16.5;4.83;3.93;0.9;11;dominant;1.61;melanic;12.6;7.9;3.4;5.2;1.5;122.7;0.3;1.9;0;7.08;7.13;1.01;5.8;0;16.9;1.23;14.25;38.29;0.294;10.14;2.87;0.058;1.06;1.967;1.89;0.893;0.202;0.02;0.003;<0.05;42.23;99.88;<2;368;<5;<45;<6;15;<58;30;13;<14;<35;<6;4;<31;9;8;21;<77;<21;<34;<30;190;<9;<6;<7;59;<9;12;34;75;;
#8;#3244;1;PA1;C;30-60;119.1;0.374;47;0.003;1.931;38;0.016;0.019;7.31;16.3;5.17;4.24;0.93;11.5;dominant;1.59;melanic;10.6;3;1.4;1.7;0.8;57.4;0.3;0.3;0;8.77;7.86;0.9;6.48;0;22.5;4.78;15.72;43.57;0.378;13.12;3.71;0.054;1.5;2.708;2.32;0.88;0.161;0.02;0.005;<0.05;31.48;99.87;<3;373;<5;<48;6;27;<61;31;15;<15;<37;<6;6;<32;10;8;20;<82;<22;<36;<32;246;<9;<6;<8;78;<9;11;43;85;;
#9;#3245;1;PA1;C;60-90;108.9;0.209;46;0.002;1.195;38;0.011;0.013;6.22;17.5;5.24;4.28;0.96;11.5;dominant;1.56;melanic;9.5;2.8;0.9;1.1;0.8;53;0.4;0.2;0;11.93;10.72;0.9;6.84;0;25.5;6.64;17.27;43.81;0.417;13.85;4.09;0.054;1.43;2.655;2.26;0.882;0.156;0.02;0.002;<0.05;30.27;99.86;3;423;<5;<48;<6;25;<61;32;18;<15;<37;<6;5;<33;8;7;18;<82;<22;<37;<32;252;<10;<6;<8;82;<9;13;49;100;;
#10;#3246;2;AC1;A;0-30;106.9;0.184;99;0.002;1.413;67;0.013;0.015;6.44;16.6;5.25;4.58;0.67;11.5;dominant;1.6;melanic;83.7;74.2;3.4;4.3;0.7;15.5;0.3;0.3;0;9.25;8.95;0.97;5.86;0;25.2;7.51;14.77;44.76;0.373;13.39;3.82;0.055;1.5;2.886;2.19;0.789;0.169;0.03;0.003;<0.05;29.93;99.88;4;362;<5;<48;6;26;<61;27;15;<15;<37;<6;2;<33;8;6;18;<82;<22;<37;<32;249;<10;<6;<8;80;<9;12;49;90;"quartz; feldspars; amphibole; amorphous phases";faujasite
