"","time","date","st10","mp10","st20","mp20","st30","mp30","st60","mp60","st100","mp100","st150","mp150","eh10a","eh10b","eh10c","eh20a","eh20b","eh20c","eh30a","eh30b","eh30c","eh60a","eh60b","eh60c","eh100a","eh100b","eh100c","eh150a","eh150b","eh150c","wd","ws","at","rh","ap","pp","sr","wt","ec","bat","lt","x44","pp_2","wt_2","oxy10","oxy20","oxy30","oxy60","oxy80","oxy100","oxy125","oxy150","bat_oxy"
"1",1,2010-04-01 00:00:00,7.42,0,7.28,0,6.98,0,6.13,0,5.55,0,5.44,0,449.27,439.59,435.19,434.3,433.04,450.94,70.82,382.09,153.85,11.07,-85.13,-106.48,-23.84,71.92,-149.59,-337.28,-377.43,-393.18,199,6,6.6,78.2,998.1,14.71,0.0201215,168.371,0.551702,NA,NA,NA,"0",-31.629,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2010-04-01 01:00:00,7.21,0,7.24,0,6.99,0,6.12,0,5.6,0,5.42,0,450.75,439.89,435.61,434.58,433.3,451.24,70.27,381.66,153.12,10.45,-85.64,-106.51,-24.07,71.68,-149.53,-336.8,-377.35,-393.16,217,6.7,6,79.7,998.3,14.71,0.0191597,168.355,0.552035,12.497,6.21,NA,"0",-31.645,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,2010-04-01 02:00:00,7.01,0,7.14,0,6.94,0,6.13,0,5.59,0,5.41,0,452.22,440.21,436.01,434.78,433.45,451.39,69.53,381.42,152.5,9.82,-86.26,-106.58,-24.43,71.59,-149.59,-336.59,-377.29,-393.18,225,7.5,5.8,81.8,998.2,14.71,0.0296667,168.295,0.552171,12.419,5.92,NA,"0",-31.705,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,2010-04-01 03:00:00,6.91,0,7.12,0,6.88,0,6.17,0,5.63,0,5.44,0,452.95,440.31,436.27,434.95,433.66,451.7,68.92,381.5,151.98,9.16,-86.74,-106.69,-24.56,71.52,-149.64,-336.21,-377.26,-393.04,201,5,5.8,81.3,998.6,14.71,0.0241732,168.16,0.552184,NA,NA,NA,"0",-31.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,2010-04-01 04:00:00,6.81,0,7.12,0,6.9,0,6.17,0,5.58,0,5.47,0,453.46,440.66,436.68,435.27,433.99,452.04,68.88,381.72,151.57,8.56,-87.21,-106.82,-24.91,71.28,-149.88,-335.97,-377.3,-393.12,212,6.7,5.7,81.5,998.7,14.71,0.0283623,168.203,0.552453,NA,NA,NA,"0.01",-31.797,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,2010-04-01 05:00:00,6.73,0,6.96,0,6.89,0,6.15,0,5.6,0,5.45,0,453.62,440.9,436.96,435.49,434.2,452.28,68.4,382.17,151.21,8.12,-87.78,-106.98,-25.04,71.13,-149.97,-335.37,-377.17,-393.11,209,7.7,5.6,81.5,998.7,14.72,0.0237611,168.154,0.552342,NA,NA,NA,"0.05",-31.846,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,2010-04-01 06:00:00,6.66,0,6.96,0,6.91,0,6.16,0,5.64,0,5.43,0,453.62,441.04,437.26,435.71,434.43,452.59,67.88,382.8,150.52,7.73,-88.3,-107.45,-25.56,70.94,-150.27,-335,-377.25,-393.11,194,5.2,4.9,88.9,999.1,14.77,1.90854,168.013,0.552389,NA,NA,NA,"0.07",-31.987,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,2010-04-01 07:00:00,6.59,0,6.9,0,6.85,0,6.19,0,5.65,0,5.44,0,453.64,441.16,437.5,435.96,434.69,452.87,67.52,383.57,149.79,7.05,-88.8,-107.35,-25.59,70.67,-150.38,-334.36,-377.26,-393.03,195,6.2,4.9,88.9,999.3,14.84,49.4614,168.035,0.552401,NA,NA,NA,"0.13",-31.965,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,2010-04-01 08:00:00,6.51,0,6.92,0,6.85,0,6.17,0,5.61,0,5.45,0,453.46,441.12,437.56,435.95,434.76,453.01,66.66,384.18,148.97,6.25,-89.79,-107.49,-25.99,70.53,-150.7,-334.62,-377.28,-393.1,206,8.4,4.8,89.6,999.7,14.97,72.0088,167.996,0.552993,12.98,5.63,NA,"0.83",-32.004,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,2010-04-01 09:00:00,6.54,0,6.82,0,6.81,0,6.2,0,5.65,0,5.45,0,453.54,441.33,437.78,436.28,434.98,453.35,66.09,384.96,148.22,5.52,-90.2,-107.7,-26.07,70.54,-150.88,-333.84,-377.28,-392.98,216,9.9,4.4,90.3,1000.6,15.8,61.3402,168.218,0.553075,NA,NA,NA,"1.14",-31.782,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,2010-04-01 10:00:00,6.48,0,6.75,0,6.84,0,6.16,0,5.65,0,5.48,0,453.53,441.4,437.59,436.46,435.08,453.55,65.42,386.05,147.55,4.9,-90.84,-107.98,-26.45,70.06,-151.26,-334.46,-377.42,-393.14,226,9.8,4.5,90.2,1001.7,16.94,129.815,168.558,0.553095,NA,NA,NA,"0.1",-31.442,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,2010-04-01 11:00:00,6.44,0,6.76,0,6.75,0,6.19,0,5.62,0,5.44,0,453.23,441.27,437.5,436.48,435.03,453.71,65.5,387.07,147.16,6.2,-91.45,-108.18,-26.56,69.98,-151.52,-333.86,-377.47,-393.11,225,8.8,5.5,82.5,1002.6,17.04,255.016,169.421,0.553285,NA,NA,NA,"0",-30.579,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,2010-04-01 12:00:00,6.54,0,6.7,0,6.74,0,6.18,0,5.63,0,5.48,0,452.94,441.47,437.77,436.66,435.23,454.05,66.16,388.17,146.84,6.11,-92.08,-108.3,-26.91,69.91,-151.83,-333.99,-377.46,-393.14,220,11.3,5.9,75.7,1003.3,17.04,217.017,169.4,0.552983,NA,NA,NA,"0",-30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,2010-04-01 13:00:00,6.67,0,6.62,0,6.68,0,6.21,0,5.67,0,5.48,0,451.74,441.27,437.53,436.65,435.3,454.08,66.04,388.8,146.41,5.61,-92.65,-108.4,-27.28,69.34,-152.13,-333.95,-377.47,-393.26,227,11.6,6.3,81.2,1003.9,17.04,195.327,169.282,0.552838,NA,NA,NA,"0",-30.718,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,2010-04-01 14:00:00,6.82,0,6.63,0,6.67,0,6.2,0,5.68,0,5.49,0,450.96,441.38,437.5,436.78,435.46,454.29,65.05,389.22,145.85,4.89,-93.49,-108.56,-27.53,69.25,-152.33,-333.61,-377.3,-393.19,228,4.4,5.3,81.8,1005,17.04,563.189,168.879,0.554034,14.073,7.51,NA,"0.52",-31.121,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,2010-04-01 15:00:00,6.93,0,6.57,0,6.64,0,6.19,0,5.66,0,5.5,0,449.72,441.49,437.41,436.95,435.71,454.63,64.28,389.66,145.43,4.07,-93.93,-108.62,-27.53,68.98,-152.55,-333.57,-376.75,-393.14,263,4.6,3.7,89.4,1005.5,17.56,120.555,168.734,0.55262,NA,NA,NA,"0.03",-31.266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,2010-04-01 16:00:00,6.98,0,6.58,0,6.64,0,6.16,0,5.69,0,5.48,0,448.53,441.15,437.03,436.78,435.61,454.59,63.36,389.81,144.56,3.02,-94.86,-109.02,-28.18,68.68,-153.13,-334.05,-376.41,-393.49,225,7.9,5.9,80.4,1005.8,17.59,417.777,168.794,0.553579,NA,NA,NA,"0.97",-31.206,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,2010-04-01 17:00:00,6.94,0,6.66,0,6.63,0,6.23,0,5.6,0,5.46,0,448.83,441.49,437.28,437.13,436.03,455.05,62.92,390.3,144.24,2.47,-94.95,-108.83,-28.1,68.99,-153.06,-333.03,-375.87,-393.07,250,4.9,4.4,90.3,1006.8,18.56,94.2485,168.586,0.553308,NA,NA,NA,"0.08",-31.414,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,2010-04-01 18:00:00,6.83,0,6.66,0,6.59,0,6.18,0,5.67,0,5.48,0,449.45,441.7,437.47,437.16,436.24,455.25,62.61,390.7,143.89,1.82,-95.51,-108.89,-28.39,68.87,-153.54,-332.91,-375.88,-393.07,227,5.9,4.8,90.7,1007.6,18.64,14.3367,168.696,0.553904,NA,NA,NA,"0.02",-31.304,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,2010-04-01 19:00:00,6.72,0,6.66,0,6.64,0,6.24,0,5.64,0,5.49,0,450.18,441.82,437.65,437.25,436.38,455.45,62.35,391.12,143.29,0.87,-96.38,-108.92,-28.64,68.93,-153.72,-332.82,-375.13,-393.02,252,5.6,4.5,88.1,1008.5,18.66,2.31971,168.657,0.554134,NA,NA,NA,"0",-31.343,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,2010-04-01 20:00:00,6.52,0,6.62,0,6.59,0,6.19,0,5.69,0,5.5,0,451.39,442.03,437.95,437.17,436.64,455.69,61.97,391.39,142.73,-0.04,-96.65,-108.95,-28.6,68.93,-153.81,-332.27,-374.76,-392.89,220,4.6,4.3,89.5,1009.4,18.66,0.0299403,168.761,0.55382,12.493,5.12,NA,"0",-31.239,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,2010-04-01 21:00:00,6.36,0,6.66,0,6.56,0,6.22,0,5.67,0,5.49,0,452.75,442.22,438.27,437.56,436.9,455.99,61.53,391.6,142.28,-0.76,-97.08,-109,-29.1,68.8,-154.21,-332.08,-374.7,-392.86,203,6.4,4.1,86.9,1010,18.66,0.0191592,168.738,0.554073,NA,NA,NA,"0.52",-31.262,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,2010-04-01 22:00:00,6.17,0,6.57,0,6.6,0,6.23,0,5.65,0,5.47,0,454.22,442.63,438.59,437.8,437.11,456.29,61.14,391.93,141.79,-1.53,-97.64,-109.12,-29.21,68.76,-154.41,-331.68,-371.47,-392.68,219,5.2,3.4,90.2,1010.7,19.18,0.030695,168.883,0.554229,NA,NA,NA,"0",-31.117,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,2010-04-01 23:00:00,6.02,0,6.54,0,6.56,0,6.21,0,5.69,0,5.5,0,455.35,442.85,438.92,438,437.38,456.59,61.46,392.55,141.12,-2.21,-99.02,-109.14,-29.5,68.52,-154.7,-331.78,-370.47,-392.69,207,4.5,3.7,89.1,1011.2,19.18,0.0268503,169.161,0.554801,NA,NA,NA,"0",-30.839,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,2010-04-02 00:00:00,5.89,0,6.45,0,6.54,0,6.2,0,5.71,0,5.51,0,456.13,443.1,439.26,438.2,437.63,456.88,61.55,392.84,140.67,-2.92,-99.46,-109.21,-29.72,68.23,-154.93,-331.18,-368.98,-392.65,206,4.8,3.7,88.9,1011.8,19.18,0.0324805,169.198,0.554699,NA,NA,NA,"0",-30.802,NA,NA,NA,NA,NA,NA,NA,NA,NA
